primary_title,runtime_minutes,genres,averagerating,numvotes,production_budget,worldwide_gross,year,ROI
The Gallows,81,Horror,4.2,17763,100000,41656474,2015,41556
The Gallows,81,Mystery,4.2,17763,100000,41656474,2015,41556
The Gallows,81,Thriller,4.2,17763,100000,41656474,2015,41556
The Devil Inside,83,Horror,4.2,33522,1000000,101759490,2012,10076
Paranormal Activity 2,91,Horror,5.7,93122,3000000,177512032,2010,5817
Get Out,104,Horror,7.7,400474,5000000,255367951,2017,5007
Get Out,104,Mystery,7.7,400474,5000000,255367951,2017,5007
Get Out,104,Thriller,7.7,400474,5000000,255367951,2017,5007
Moonlight,111,Drama,7.4,227964,1500000,65245512,2016,4250
Chernobyl Diaries,86,Horror,5.0,60304,1000000,42411721,2012,4141
Chernobyl Diaries,86,Mystery,5.0,60304,1000000,42411721,2012,4141
Chernobyl Diaries,86,Thriller,5.0,60304,1000000,42411721,2012,4141
Paranormal Activity 3,83,Horror,5.8,85689,5000000,207039844,2011,4041
Paranormal Activity 3,83,Mystery,5.8,85689,5000000,207039844,2011,4041
Paranormal Activity 3,83,Thriller,5.8,85689,5000000,207039844,2011,4041
Annabelle,99,Horror,5.4,122039,6500000,256862920,2014,3852
Annabelle,99,Mystery,5.4,122039,6500000,256862920,2014,3852
Annabelle,99,Thriller,5.4,122039,6500000,256862920,2014,3852
The Last Exorcism,87,Drama,5.6,45815,1800000,70165900,2010,3798
The Last Exorcism,87,Horror,5.6,45815,1800000,70165900,2010,3798
The Last Exorcism,87,Thriller,5.6,45815,1800000,70165900,2010,3798
Dangal,161,Action,8.5,123638,9500000,294654618,2016,3002
Dangal,161,Biography,8.5,123638,9500000,294654618,2016,3002
Dangal,161,Drama,8.5,123638,9500000,294654618,2016,3002
The Purge,85,Horror,5.7,183549,3000000,91266581,2013,2942
The Purge,85,Thriller,5.7,183549,3000000,91266581,2013,2942
Lights Out,81,Drama,6.3,100650,5000000,148806510,2016,2876
Lights Out,81,Horror,6.3,100650,5000000,148806510,2016,2876
Lights Out,81,Mystery,6.3,100650,5000000,148806510,2016,2876
Sinister,110,Horror,6.8,198345,3000000,87727807,2012,2824
Sinister,110,Mystery,6.8,198345,3000000,87727807,2012,2824
Sinister,110,Thriller,6.8,198345,3000000,87727807,2012,2824
Paranormal Activity 4,88,Horror,4.6,58408,5000000,142817992,2012,2756
Paranormal Activity 4,88,Mystery,4.6,58408,5000000,142817992,2012,2756
Paranormal Activity 4,88,Thriller,4.6,58408,5000000,142817992,2012,2756
A Ghost Story,92,Drama,6.8,46280,100000,2769782,2017,2670
A Ghost Story,92,Fantasy,6.8,46280,100000,2769782,2017,2670
A Ghost Story,92,Romance,6.8,46280,100000,2769782,2017,2670
Truth or Dare,100,Horror,5.2,33621,3500000,95127344,2018,2618
Truth or Dare,100,Thriller,5.2,33621,3500000,95127344,2018,2618
The Fault in Our Stars,126,Drama,7.7,315135,12000000,307166834,2014,2460
The Fault in Our Stars,126,Romance,7.7,315135,12000000,307166834,2014,2460
Halloween,106,Horror,6.6,88395,10000000,254900667,2018,2449
Halloween,106,Thriller,6.6,88395,10000000,254900667,2018,2449
Black Swan,108,Drama,8.0,648854,13000000,331266710,2010,2448
Black Swan,108,Thriller,8.0,648854,13000000,331266710,2010,2448
Happy Death Day,96,Horror,6.5,87132,5000000,125010260,2017,2400
Happy Death Day,96,Mystery,6.5,87132,5000000,125010260,2017,2400
Happy Death Day,96,Thriller,6.5,87132,5000000,125010260,2017,2400
War Room,120,Drama,6.5,11716,3000000,73975239,2015,2366
Magic Mike,110,Comedy,6.1,123955,7000000,170549753,2012,2336
Magic Mike,110,Drama,6.1,123955,7000000,170549753,2012,2336
A Haunted House,86,Comedy,5.1,40308,2500000,59922558,2013,2297
A Haunted House,86,Fantasy,5.1,40308,2500000,59922558,2013,2297
10 Cloverfield Lane,103,Drama,7.2,260383,5000000,108286422,2016,2066
10 Cloverfield Lane,103,Horror,7.2,260383,5000000,108286422,2016,2066
10 Cloverfield Lane,103,Mystery,7.2,260383,5000000,108286422,2016,2066
La La Land,128,Comedy,8.0,436070,20000000,426351163,2016,2032
La La Land,128,Drama,8.0,436070,20000000,426351163,2016,2032
La La Land,128,Music,8.0,436070,20000000,426351163,2016,2032
Ouija,89,Horror,4.5,44054,5000000,103300632,2014,1966
Ouija,89,Mystery,4.5,44054,5000000,103300632,2014,1966
Ouija,89,Thriller,4.5,44054,5000000,103300632,2014,1966
Annabelle: Creation,109,Horror,6.5,90402,15000000,305384865,2017,1936
Annabelle: Creation,109,Mystery,6.5,90402,15000000,305384865,2017,1936
Annabelle: Creation,109,Thriller,6.5,90402,15000000,305384865,2017,1936
It,135,Horror,7.4,359123,35000000,697457969,2017,1893
It,135,Thriller,7.4,359123,35000000,697457969,2017,1893
The Visit,94,Horror,6.2,102459,5000000,98677816,2015,1874
The Visit,94,Mystery,6.2,102459,5000000,98677816,2015,1874
The Visit,94,Thriller,6.2,102459,5000000,98677816,2015,1874
A Quiet Place,90,Drama,7.6,305031,17000000,334522294,2018,1868
A Quiet Place,90,Horror,7.6,305031,17000000,334522294,2018,1868
A Quiet Place,90,Sci-Fi,7.6,305031,17000000,334522294,2018,1868
Exeter,91,Horror,4.5,5156,25000,489792,2015,1859
Exeter,91,Mystery,4.5,5156,25000,489792,2015,1859
Exeter,91,Thriller,4.5,5156,25000,489792,2015,1859
Fruitvale Station,85,Biography,7.5,68187,900000,17549645,2013,1850
Fruitvale Station,85,Drama,7.5,68187,900000,17549645,2013,1850
Fruitvale Station,85,Romance,7.5,68187,900000,17549645,2013,1850
Paranormal Activity: The Marked Ones,84,Horror,5.0,37147,5000000,90904854,2014,1718
Paranormal Activity: The Marked Ones,84,Mystery,5.0,37147,5000000,90904854,2014,1718
Paranormal Activity: The Marked Ones,84,Thriller,5.0,37147,5000000,90904854,2014,1718
Courageous,129,Drama,7.0,17586,2000000,35185884,2011,1659
Insidious: The Last Key,103,Horror,5.7,42154,10000000,167885588,2018,1579
Insidious: The Last Key,103,Mystery,5.7,42154,10000000,167885588,2018,1579
Insidious: The Last Key,103,Thriller,5.7,42154,10000000,167885588,2018,1579
Blue Valentine,112,Drama,7.4,170089,1000000,16566240,2010,1557
Blue Valentine,112,Romance,7.4,170089,1000000,16566240,2010,1557
Unfriended: Dark Web,92,Crime,5.9,13822,1000000,16434588,2018,1543
Unfriended: Dark Web,92,Horror,5.9,13822,1000000,16434588,2018,1543
Unfriended: Dark Web,92,Mystery,5.9,13822,1000000,16434588,2018,1543
Bohemian Rhapsody,134,Biography,8.0,345466,55000000,894985342,2018,1527
Bohemian Rhapsody,134,Drama,8.0,345466,55000000,894985342,2018,1527
Bohemian Rhapsody,134,Music,8.0,345466,55000000,894985342,2018,1527
The Conjuring,112,Horror,7.5,397233,20000000,318000141,2013,1490
The Conjuring,112,Mystery,7.5,397233,20000000,318000141,2013,1490
The Conjuring,112,Thriller,7.5,397233,20000000,318000141,2013,1490
Minions,91,Adventure,6.4,193917,74000000,1160336173,2015,1468
Minions,91,Animation,6.4,193917,74000000,1160336173,2015,1468
Minions,91,Comedy,6.4,193917,74000000,1160336173,2015,1468
Wonder,113,Drama,8.0,111632,20000000,304604712,2017,1423
Wonder,113,Family,8.0,111632,20000000,304604712,2017,1423
The Imitation Game,114,Biography,8.0,620834,15000000,227740463,2014,1418
The Imitation Game,114,Drama,8.0,620834,15000000,227740463,2014,1418
The Imitation Game,114,Thriller,8.0,620834,15000000,227740463,2014,1418
Neighbors,97,Comedy,6.3,266020,18000000,270944428,2014,1405
Like Crazy,86,Drama,6.7,55841,250000,3728400,2011,1391
Like Crazy,86,Romance,6.7,55841,250000,3728400,2011,1391
Boyhood,165,Drama,7.9,315584,4000000,57273049,2014,1332
Fifty Shades of Grey,125,Drama,4.1,279126,40000000,570998101,2015,1327
Fifty Shades of Grey,125,Romance,4.1,279126,40000000,570998101,2015,1327
Fifty Shades of Grey,125,Thriller,4.1,279126,40000000,570998101,2015,1327
Green Book,130,Biography,8.3,204972,23000000,322034439,2018,1300
Green Book,130,Comedy,8.3,204972,23000000,322034439,2018,1300
Green Book,130,Drama,8.3,204972,23000000,322034439,2018,1300
Deadpool,108,Action,8.0,820847,58000000,801025593,2016,1281
Deadpool,108,Adventure,8.0,820847,58000000,801025593,2016,1281
Deadpool,108,Comedy,8.0,820847,58000000,801025593,2016,1281
Despicable Me 3,89,Adventure,6.3,92580,75000000,1034727750,2017,1280
Despicable Me 3,89,Animation,6.3,92580,75000000,1034727750,2017,1280
Despicable Me 3,89,Comedy,6.3,92580,75000000,1034727750,2017,1280
The Boy Next Door,91,Horror,4.7,34816,4000000,53401938,2015,1235
The Boy Next Door,91,Thriller,4.7,34816,4000000,53401938,2015,1235
"Three Billboards Outside Ebbing, Missouri",115,Crime,8.2,344047,12000000,160191915,2017,1235
"Three Billboards Outside Ebbing, Missouri",115,Drama,8.2,344047,12000000,160191915,2017,1235
Beasts of the Southern Wild,93,Adventure,7.3,77440,1800000,23265132,2012,1193
Beasts of the Southern Wild,93,Drama,7.3,77440,1800000,23265132,2012,1193
Beasts of the Southern Wild,93,Fantasy,7.3,77440,1800000,23265132,2012,1193
Kevin Hart: Let Me Explain,75,Comedy,6.8,7880,2500000,32327255,2013,1193
Kevin Hart: Let Me Explain,75,Documentary,6.8,7880,2500000,32327255,2013,1193
Despicable Me 2,98,Adventure,7.4,344230,76000000,975216835,2013,1183
Despicable Me 2,98,Animation,7.4,344230,76000000,975216835,2013,1183
Despicable Me 2,98,Comedy,7.4,344230,76000000,975216835,2013,1183
Us,116,Horror,7.1,102511,20000000,254210310,2019,1171
Us,116,Mystery,7.1,102511,20000000,254210310,2019,1171
Us,116,Thriller,7.1,102511,20000000,254210310,2019,1171
Winchester,99,Biography,5.4,24351,3500000,44378040,2018,1168
Winchester,99,Drama,5.4,24351,3500000,44378040,2018,1168
Winchester,99,Fantasy,5.4,24351,3500000,44378040,2018,1168
Lion,118,Biography,8.1,181601,12000000,149570720,2016,1146
Lion,118,Drama,8.1,181601,12000000,149570720,2016,1146
The Purge: Anarchy,103,Action,6.5,126203,9000000,111534881,2014,1139
The Purge: Anarchy,103,Horror,6.5,126203,9000000,111534881,2014,1139
The Purge: Anarchy,103,Sci-Fi,6.5,126203,9000000,111534881,2014,1139
Glass,129,Drama,6.8,133793,20000000,245303505,2019,1127
Glass,129,Sci-Fi,6.8,133793,20000000,245303505,2019,1127
Glass,129,Thriller,6.8,133793,20000000,245303505,2019,1127
I Can Only Imagine,110,Biography,7.4,11439,7000000,85604221,2018,1123
I Can Only Imagine,110,Drama,7.4,11439,7000000,85604221,2018,1123
I Can Only Imagine,110,Family,7.4,11439,7000000,85604221,2018,1123
Dallas Buyers Club,117,Biography,8.0,402462,5000000,60611845,2013,1112
Dallas Buyers Club,117,Drama,8.0,402462,5000000,60611845,2013,1112
Another Earth,92,Drama,7.0,85839,175000,2102779,2011,1102
Another Earth,92,Romance,7.0,85839,175000,2102779,2011,1102
Another Earth,92,Sci-Fi,7.0,85839,175000,2102779,2011,1102
All You Need Is Love,90,Documentary,6.8,9,300000,3565259,2014,1088
The Purge: Election Year,108,Action,6.0,80254,10000000,118514727,2016,1085
The Purge: Election Year,108,Horror,6.0,80254,10000000,118514727,2016,1085
The Purge: Election Year,108,Sci-Fi,6.0,80254,10000000,118514727,2016,1085
The Secret Life of Pets,87,Adventure,6.5,161997,75000000,886750534,2016,1082
The Secret Life of Pets,87,Animation,6.5,161997,75000000,886750534,2016,1082
The Secret Life of Pets,87,Comedy,6.5,161997,75000000,886750534,2016,1082
Whiplash,106,Drama,8.5,616916,3300000,38969037,2014,1081
Whiplash,106,Music,8.5,616916,3300000,38969037,2014,1081
The Gift,108,Drama,7.1,123834,5000000,58978477,2015,1080
The Gift,108,Mystery,7.1,123834,5000000,58978477,2015,1080
The Gift,108,Thriller,7.1,123834,5000000,58978477,2015,1080
The Fighter,116,Biography,7.8,316539,11000000,129262388,2010,1075
The Fighter,116,Drama,7.8,316539,11000000,129262388,2010,1075
The Fighter,116,Sport,7.8,316539,11000000,129262388,2010,1075
The Sessions,95,Biography,7.2,39731,1000000,11495204,2012,1050
The Sessions,95,Comedy,7.2,39731,1000000,11495204,2012,1050
The Sessions,95,Drama,7.2,39731,1000000,11495204,2012,1050
Five Feet Apart,116,Drama,7.2,10645,7000000,80504421,2019,1050
Five Feet Apart,116,Romance,7.2,10645,7000000,80504421,2019,1050
Lucy,89,Action,6.4,403194,40000000,457507776,2014,1044
Lucy,89,Sci-Fi,6.4,403194,40000000,457507776,2014,1044
Lucy,89,Thriller,6.4,403194,40000000,457507776,2014,1044
Bad Teacher,92,Comedy,5.7,181189,19000000,215448997,2011,1034
Bad Teacher,92,Romance,5.7,181189,19000000,215448997,2011,1034
Monsters,94,Drama,6.4,84332,500000,5639730,2010,1028
Monsters,94,Sci-Fi,6.4,84332,500000,5639730,2010,1028
Monsters,94,Thriller,6.4,84332,500000,5639730,2010,1028
Silver Linings Playbook,122,Comedy,7.7,621018,21000000,236412453,2012,1026
Silver Linings Playbook,122,Drama,7.7,621018,21000000,236412453,2012,1026
Silver Linings Playbook,122,Romance,7.7,621018,21000000,236412453,2012,1026
Ted,106,Comedy,6.9,538367,50000000,556016627,2012,1012
Ted,106,Fantasy,6.9,538367,50000000,556016627,2012,1012
The Big Sick,120,Comedy,7.6,104008,5000000,53972860,2017,979
The Big Sick,120,Drama,7.6,104008,5000000,53972860,2017,979
The Big Sick,120,Romance,7.6,104008,5000000,53972860,2017,979
Jumanji: Welcome to the Jungle,119,Action,7.0,242735,90000000,964496193,2017,972
Jumanji: Welcome to the Jungle,119,Adventure,7.0,242735,90000000,964496193,2017,972
Jumanji: Welcome to the Jungle,119,Comedy,7.0,242735,90000000,964496193,2017,972
Buried,95,Drama,7.0,139426,1987650,21270290,2010,970
Buried,95,Mystery,7.0,139426,1987650,21270290,2010,970
Buried,95,Thriller,7.0,139426,1987650,21270290,2010,970
The First Purge,98,Action,5.1,41741,13000000,136617305,2018,951
The First Purge,98,Horror,5.1,41741,13000000,136617305,2018,951
The First Purge,98,Sci-Fi,5.1,41741,13000000,136617305,2018,951
Me Before You,106,Drama,7.4,174567,20000000,208265198,2016,941
Me Before You,106,Romance,7.4,174567,20000000,208265198,2016,941
The Twilight Saga: Eclipse,124,Adventure,5.0,211733,68000000,706102828,2010,938
