primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
The Gallows,81,Horror,100000,41656474,2015,41556
The Gallows,81,Mystery,100000,41656474,2015,41556
The Gallows,81,Thriller,100000,41656474,2015,41556
The Devil Inside,83,Horror,1000000,101759490,2012,10076
Paranormal Activity 2,91,Horror,3000000,177512032,2010,5817
Get Out,104,Horror,5000000,255367951,2017,5007
Get Out,104,Mystery,5000000,255367951,2017,5007
Get Out,104,Thriller,5000000,255367951,2017,5007
Moonlight,111,Drama,1500000,65245512,2016,4250
Chernobyl Diaries,86,Horror,1000000,42411721,2012,4141
Chernobyl Diaries,86,Mystery,1000000,42411721,2012,4141
Chernobyl Diaries,86,Thriller,1000000,42411721,2012,4141
Paranormal Activity 3,83,Horror,5000000,207039844,2011,4041
Paranormal Activity 3,83,Mystery,5000000,207039844,2011,4041
Paranormal Activity 3,83,Thriller,5000000,207039844,2011,4041
Annabelle,99,Horror,6500000,256862920,2014,3852
Annabelle,99,Mystery,6500000,256862920,2014,3852
Annabelle,99,Thriller,6500000,256862920,2014,3852
The Last Exorcism,87,Drama,1800000,70165900,2010,3798
The Last Exorcism,87,Horror,1800000,70165900,2010,3798
The Last Exorcism,87,Thriller,1800000,70165900,2010,3798
Dangal,161,Action,9500000,294654618,2016,3002
Dangal,161,Biography,9500000,294654618,2016,3002
Dangal,161,Drama,9500000,294654618,2016,3002
The Purge,85,Horror,3000000,91266581,2013,2942
The Purge,85,Thriller,3000000,91266581,2013,2942
Lights Out,81,Drama,5000000,148806510,2016,2876
Lights Out,81,Horror,5000000,148806510,2016,2876
Lights Out,81,Mystery,5000000,148806510,2016,2876
Lights Out,90,Documentary,5000000,148806510,2016,2876
Sinister,110,Horror,3000000,87727807,2012,2824
Sinister,110,Mystery,3000000,87727807,2012,2824
Sinister,110,Thriller,3000000,87727807,2012,2824
Paranormal Activity 4,88,Horror,5000000,142817992,2012,2756
Paranormal Activity 4,88,Mystery,5000000,142817992,2012,2756
Paranormal Activity 4,88,Thriller,5000000,142817992,2012,2756
A Ghost Story,92,Drama,100000,2769782,2017,2670
A Ghost Story,92,Fantasy,100000,2769782,2017,2670
A Ghost Story,92,Romance,100000,2769782,2017,2670
Truth or Dare,100,Horror,3500000,95127344,2018,2618
Truth or Dare,100,Thriller,3500000,95127344,2018,2618
Truth or Dare,92,Comedy,3500000,95127344,2018,2618
Truth or Dare,92,Drama,3500000,95127344,2018,2618
Truth or Dare,92,Romance,3500000,95127344,2018,2618
The Fault in Our Stars,126,Drama,12000000,307166834,2014,2460
The Fault in Our Stars,126,Romance,12000000,307166834,2014,2460
Halloween,106,Horror,10000000,254900667,2018,2449
Halloween,106,Thriller,10000000,254900667,2018,2449
Black Swan,108,Drama,13000000,331266710,2010,2448
Black Swan,108,Thriller,13000000,331266710,2010,2448
Happy Death Day,96,Horror,5000000,125010260,2017,2400
Happy Death Day,96,Mystery,5000000,125010260,2017,2400
Happy Death Day,96,Thriller,5000000,125010260,2017,2400
War Room,120,Drama,3000000,73975239,2015,2366
Magic Mike,110,Comedy,7000000,170549753,2012,2336
Magic Mike,110,Drama,7000000,170549753,2012,2336
A Haunted House,86,Comedy,2500000,59922558,2013,2297
A Haunted House,86,Fantasy,2500000,59922558,2013,2297
10 Cloverfield Lane,103,Drama,5000000,108286422,2016,2066
10 Cloverfield Lane,103,Horror,5000000,108286422,2016,2066
10 Cloverfield Lane,103,Mystery,5000000,108286422,2016,2066
La La Land,128,Comedy,20000000,426351163,2016,2032
La La Land,128,Drama,20000000,426351163,2016,2032
La La Land,128,Music,20000000,426351163,2016,2032
Ouija,89,Horror,5000000,103300632,2014,1966
Ouija,89,Mystery,5000000,103300632,2014,1966
Ouija,89,Thriller,5000000,103300632,2014,1966
Annabelle: Creation,109,Horror,15000000,305384865,2017,1936
Annabelle: Creation,109,Mystery,15000000,305384865,2017,1936
Annabelle: Creation,109,Thriller,15000000,305384865,2017,1936
It,135,Horror,35000000,697457969,2017,1893
It,135,Thriller,35000000,697457969,2017,1893
The Visit,94,Horror,5000000,98677816,2015,1874
The Visit,94,Mystery,5000000,98677816,2015,1874
The Visit,94,Thriller,5000000,98677816,2015,1874
A Quiet Place,90,Drama,17000000,334522294,2018,1868
A Quiet Place,90,Horror,17000000,334522294,2018,1868
A Quiet Place,90,Sci-Fi,17000000,334522294,2018,1868
Exeter,91,Horror,25000,489792,2015,1859
Exeter,91,Mystery,25000,489792,2015,1859
Exeter,91,Thriller,25000,489792,2015,1859
Fruitvale Station,85,Biography,900000,17549645,2013,1850
Fruitvale Station,85,Drama,900000,17549645,2013,1850
Fruitvale Station,85,Romance,900000,17549645,2013,1850
Paranormal Activity: The Marked Ones,84,Horror,5000000,90904854,2014,1718
Paranormal Activity: The Marked Ones,84,Mystery,5000000,90904854,2014,1718
Paranormal Activity: The Marked Ones,84,Thriller,5000000,90904854,2014,1718
Courageous,129,Drama,2000000,35185884,2011,1659
Insidious: The Last Key,103,Horror,10000000,167885588,2018,1579
Insidious: The Last Key,103,Mystery,10000000,167885588,2018,1579
Insidious: The Last Key,103,Thriller,10000000,167885588,2018,1579
Blue Valentine,112,Drama,1000000,16566240,2010,1557
Blue Valentine,112,Romance,1000000,16566240,2010,1557
Unfriended: Dark Web,92,Crime,1000000,16434588,2018,1543
Unfriended: Dark Web,92,Horror,1000000,16434588,2018,1543
Unfriended: Dark Web,92,Mystery,1000000,16434588,2018,1543
Bohemian Rhapsody,134,Biography,55000000,894985342,2018,1527
Bohemian Rhapsody,134,Drama,55000000,894985342,2018,1527
Bohemian Rhapsody,134,Music,55000000,894985342,2018,1527
The Conjuring,112,Horror,20000000,318000141,2013,1490
The Conjuring,112,Mystery,20000000,318000141,2013,1490
The Conjuring,112,Thriller,20000000,318000141,2013,1490
Minions,91,Adventure,74000000,1160336173,2015,1468
Minions,91,Animation,74000000,1160336173,2015,1468
Minions,91,Comedy,74000000,1160336173,2015,1468
Wonder,113,Drama,20000000,304604712,2017,1423
Wonder,113,Family,20000000,304604712,2017,1423
The Imitation Game,114,Biography,15000000,227740463,2014,1418
The Imitation Game,114,Drama,15000000,227740463,2014,1418
The Imitation Game,114,Thriller,15000000,227740463,2014,1418
Neighbors,97,Comedy,18000000,270944428,2014,1405
Like Crazy,86,Drama,250000,3728400,2011,1391
Like Crazy,86,Romance,250000,3728400,2011,1391
Boyhood,165,Drama,4000000,57273049,2014,1332
Fifty Shades of Grey,125,Drama,40000000,570998101,2015,1327
Fifty Shades of Grey,125,Romance,40000000,570998101,2015,1327
Fifty Shades of Grey,125,Thriller,40000000,570998101,2015,1327
Green Book,130,Biography,23000000,322034439,2018,1300
Green Book,130,Comedy,23000000,322034439,2018,1300
Green Book,130,Drama,23000000,322034439,2018,1300
Deadpool,108,Action,58000000,801025593,2016,1281
Deadpool,108,Adventure,58000000,801025593,2016,1281
Deadpool,108,Comedy,58000000,801025593,2016,1281
Despicable Me 3,89,Adventure,75000000,1034727750,2017,1280
Despicable Me 3,89,Animation,75000000,1034727750,2017,1280
Despicable Me 3,89,Comedy,75000000,1034727750,2017,1280
"Three Billboards Outside Ebbing, Missouri",115,Crime,12000000,160191915,2017,1235
"Three Billboards Outside Ebbing, Missouri",115,Drama,12000000,160191915,2017,1235
The Boy Next Door,91,Horror,4000000,53401938,2015,1235
The Boy Next Door,91,Thriller,4000000,53401938,2015,1235
Kevin Hart: Let Me Explain,75,Comedy,2500000,32327255,2013,1193
Kevin Hart: Let Me Explain,75,Documentary,2500000,32327255,2013,1193
Beasts of the Southern Wild,93,Adventure,1800000,23265132,2012,1193
Beasts of the Southern Wild,93,Drama,1800000,23265132,2012,1193
Beasts of the Southern Wild,93,Fantasy,1800000,23265132,2012,1193
Despicable Me 2,98,Adventure,76000000,975216835,2013,1183
Despicable Me 2,98,Animation,76000000,975216835,2013,1183
Despicable Me 2,98,Comedy,76000000,975216835,2013,1183
Us,116,Horror,20000000,254210310,2019,1171
Us,116,Mystery,20000000,254210310,2019,1171
Us,116,Thriller,20000000,254210310,2019,1171
Winchester,99,Biography,3500000,44378040,2018,1168
Winchester,99,Drama,3500000,44378040,2018,1168
Winchester,99,Fantasy,3500000,44378040,2018,1168
Lion,118,Biography,12000000,149570720,2016,1146
Lion,118,Drama,12000000,149570720,2016,1146
The Purge: Anarchy,103,Action,9000000,111534881,2014,1139
The Purge: Anarchy,103,Horror,9000000,111534881,2014,1139
The Purge: Anarchy,103,Sci-Fi,9000000,111534881,2014,1139
Glass,129,Drama,20000000,245303505,2019,1127
Glass,129,Sci-Fi,20000000,245303505,2019,1127
Glass,129,Thriller,20000000,245303505,2019,1127
I Can Only Imagine,110,Biography,7000000,85604221,2018,1123
I Can Only Imagine,110,Drama,7000000,85604221,2018,1123
I Can Only Imagine,110,Family,7000000,85604221,2018,1123
Dallas Buyers Club,117,Biography,5000000,60611845,2013,1112
Dallas Buyers Club,117,Drama,5000000,60611845,2013,1112
Another Earth,92,Drama,175000,2102779,2011,1102
Another Earth,92,Romance,175000,2102779,2011,1102
Another Earth,92,Sci-Fi,175000,2102779,2011,1102
All You Need Is Love,90,Documentary,300000,3565259,2014,1088
The Purge: Election Year,108,Action,10000000,118514727,2016,1085
The Purge: Election Year,108,Horror,10000000,118514727,2016,1085
The Purge: Election Year,108,Sci-Fi,10000000,118514727,2016,1085
The Secret Life of Pets,87,Adventure,75000000,886750534,2016,1082
The Secret Life of Pets,87,Animation,75000000,886750534,2016,1082
The Secret Life of Pets,87,Comedy,75000000,886750534,2016,1082
Whiplash,106,Drama,3300000,38969037,2014,1081
Whiplash,106,Music,3300000,38969037,2014,1081
The Gift,108,Drama,5000000,58978477,2015,1080
The Gift,108,Mystery,5000000,58978477,2015,1080
The Gift,108,Thriller,5000000,58978477,2015,1080
