primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
The Gallows,81,"Horror,Mystery,Thriller",100000,41656474,2015,41556
The Devil Inside,83,Horror,1000000,101759490,2012,10076
Paranormal Activity 2,91,Horror,3000000,177512032,2010,5817
Get Out,104,"Horror,Mystery,Thriller",5000000,255367951,2017,5007
Moonlight,111,Drama,1500000,65245512,2016,4250
Chernobyl Diaries,86,"Horror,Mystery,Thriller",1000000,42411721,2012,4141
Paranormal Activity 3,83,"Horror,Mystery,Thriller",5000000,207039844,2011,4041
Annabelle,99,"Horror,Mystery,Thriller",6500000,256862920,2014,3852
The Last Exorcism,87,"Drama,Horror,Thriller",1800000,70165900,2010,3798
Dangal,161,"Action,Biography,Drama",9500000,294654618,2016,3002
The Purge,85,"Horror,Thriller",3000000,91266581,2013,2942
Lights Out,81,"Drama,Horror,Mystery",5000000,148806510,2016,2876
Lights Out,90,Documentary,5000000,148806510,2016,2876
Sinister,110,"Horror,Mystery,Thriller",3000000,87727807,2012,2824
Paranormal Activity 4,88,"Horror,Mystery,Thriller",5000000,142817992,2012,2756
A Ghost Story,92,"Drama,Fantasy,Romance",100000,2769782,2017,2670
Truth or Dare,100,"Horror,Thriller",3500000,95127344,2018,2618
Truth or Dare,92,"Comedy,Drama,Romance",3500000,95127344,2018,2618
The Fault in Our Stars,126,"Drama,Romance",12000000,307166834,2014,2460
Halloween,106,"Horror,Thriller",10000000,254900667,2018,2449
Black Swan,108,"Drama,Thriller",13000000,331266710,2010,2448
Happy Death Day,96,"Horror,Mystery,Thriller",5000000,125010260,2017,2400
War Room,120,Drama,3000000,73975239,2015,2366
Magic Mike,110,"Comedy,Drama",7000000,170549753,2012,2336
A Haunted House,86,"Comedy,Fantasy",2500000,59922558,2013,2297
10 Cloverfield Lane,103,"Drama,Horror,Mystery",5000000,108286422,2016,2066
La La Land,128,"Comedy,Drama,Music",20000000,426351163,2016,2032
Ouija,89,"Horror,Mystery,Thriller",5000000,103300632,2014,1966
Annabelle: Creation,109,"Horror,Mystery,Thriller",15000000,305384865,2017,1936
It,135,"Horror,Thriller",35000000,697457969,2017,1893
The Visit,94,"Horror,Mystery,Thriller",5000000,98677816,2015,1874
A Quiet Place,90,"Drama,Horror,Sci-Fi",17000000,334522294,2018,1868
Exeter,91,"Horror,Mystery,Thriller",25000,489792,2015,1859
Fruitvale Station,85,"Biography,Drama,Romance",900000,17549645,2013,1850
Paranormal Activity: The Marked Ones,84,"Horror,Mystery,Thriller",5000000,90904854,2014,1718
Courageous,129,Drama,2000000,35185884,2011,1659
Insidious: The Last Key,103,"Horror,Mystery,Thriller",10000000,167885588,2018,1579
Blue Valentine,112,"Drama,Romance",1000000,16566240,2010,1557
Unfriended: Dark Web,92,"Crime,Horror,Mystery",1000000,16434588,2018,1543
Bohemian Rhapsody,134,"Biography,Drama,Music",55000000,894985342,2018,1527
The Conjuring,112,"Horror,Mystery,Thriller",20000000,318000141,2013,1490
Minions,91,"Adventure,Animation,Comedy",74000000,1160336173,2015,1468
Wonder,113,"Drama,Family",20000000,304604712,2017,1423
The Imitation Game,114,"Biography,Drama,Thriller",15000000,227740463,2014,1418
Neighbors,97,Comedy,18000000,270944428,2014,1405
Like Crazy,86,"Drama,Romance",250000,3728400,2011,1391
Boyhood,165,Drama,4000000,57273049,2014,1332
Fifty Shades of Grey,125,"Drama,Romance,Thriller",40000000,570998101,2015,1327
Green Book,130,"Biography,Comedy,Drama",23000000,322034439,2018,1300
Deadpool,108,"Action,Adventure,Comedy",58000000,801025593,2016,1281
Despicable Me 3,89,"Adventure,Animation,Comedy",75000000,1034727750,2017,1280
"Three Billboards Outside Ebbing, Missouri",115,"Crime,Drama",12000000,160191915,2017,1235
The Boy Next Door,91,"Horror,Thriller",4000000,53401938,2015,1235
Kevin Hart: Let Me Explain,75,"Comedy,Documentary",2500000,32327255,2013,1193
Beasts of the Southern Wild,93,"Adventure,Drama,Fantasy",1800000,23265132,2012,1193
Despicable Me 2,98,"Adventure,Animation,Comedy",76000000,975216835,2013,1183
Us,116,"Horror,Mystery,Thriller",20000000,254210310,2019,1171
Winchester,99,"Biography,Drama,Fantasy",3500000,44378040,2018,1168
Lion,118,"Biography,Drama",12000000,149570720,2016,1146
The Purge: Anarchy,103,"Action,Horror,Sci-Fi",9000000,111534881,2014,1139
Glass,129,"Drama,Sci-Fi,Thriller",20000000,245303505,2019,1127
I Can Only Imagine,110,"Biography,Drama,Family",7000000,85604221,2018,1123
Dallas Buyers Club,117,"Biography,Drama",5000000,60611845,2013,1112
Another Earth,92,"Drama,Romance,Sci-Fi",175000,2102779,2011,1102
All You Need Is Love,90,Documentary,300000,3565259,2014,1088
The Purge: Election Year,108,"Action,Horror,Sci-Fi",10000000,118514727,2016,1085
The Secret Life of Pets,87,"Adventure,Animation,Comedy",75000000,886750534,2016,1082
Whiplash,106,"Drama,Music",3300000,38969037,2014,1081
The Gift,108,"Drama,Mystery,Thriller",5000000,58978477,2015,1080
The Fighter,116,"Biography,Drama,Sport",11000000,129262388,2010,1075
Five Feet Apart,116,"Drama,Romance",7000000,80504421,2019,1050
The Sessions,95,"Biography,Comedy,Drama",1000000,11495204,2012,1050
Lucy,89,"Action,Sci-Fi,Thriller",40000000,457507776,2014,1044
Bad Teacher,92,"Comedy,Romance",19000000,215448997,2011,1034
Monsters,94,"Drama,Sci-Fi,Thriller",500000,5639730,2010,1028
Silver Linings Playbook,122,"Comedy,Drama,Romance",21000000,236412453,2012,1026
Ted,106,"Comedy,Fantasy",50000000,556016627,2012,1012
The Big Sick,120,"Comedy,Drama,Romance",5000000,53972860,2017,979
Jumanji: Welcome to the Jungle,119,"Action,Adventure,Comedy",90000000,964496193,2017,972
Buried,95,"Drama,Mystery,Thriller",1987650,21270290,2010,970
The First Purge,98,"Action,Horror,Sci-Fi",13000000,136617305,2018,951
Me Before You,106,"Drama,Romance",20000000,208265198,2016,941
The Twilight Saga: Eclipse,124,"Adventure,Drama,Fantasy",68000000,706102828,2010,938
Chronicle,84,"Drama,Sci-Fi,Thriller",12000000,123681790,2012,931
Kevin Hart: Laugh at My Pain,89,"Comedy,Documentary",750000,7712436,2011,928
Jigsaw,92,"Crime,Horror,Mystery",10000000,102445196,2017,924
The Maze Runner,113,"Action,Mystery,Sci-Fi",34000000,348319861,2014,924
Meet the Blacks,94,"Comedy,Horror",900000,9097072,2016,911
The Shape of Water,123,"Adventure,Drama,Fantasy",19500000,195790794,2017,904
Pitch Perfect 2,115,"Comedy,Music",29000000,287625468,2015,892
Mama,100,"Horror,Thriller",15000000,148095566,2013,887
Hunt for the Wilderpeople,101,"Adventure,Comedy,Drama",2500000,23845533,2016,854
Easy A,92,"Comedy,Drama,Romance",8000000,76200721,2010,853
Unsane,98,"Drama,Horror,Mystery",1500000,14244931,2018,850
Think Like a Man,122,"Comedy,Romance",12000000,113373764,2012,845
American Sniper,133,"Action,Biography,Drama",58000000,547326372,2014,844
Bajrangi Bhaijaan,163,"Action,Comedy,Drama",13000000,121778347,2015,837
Hidden Figures,127,"Biography,Drama,History",25000000,231771716,2016,827
Ice Age: Continental Drift,88,"Adventure,Animation,Comedy",95000000,879765137,2012,826
Manchester by the Sea,137,Drama,8500000,77733867,2016,815
Dirty Grandpa,102,Comedy,11500000,105078449,2016,814
The Shallows,86,"Drama,Horror,Thriller",13000000,118763442,2016,814
Book Club,104,"Comedy,Drama,Romance",10000000,91113683,2018,811
Ouija: Origin of Evil,99,"Drama,Horror,Mystery",9000000,81831866,2016,809
The Kids Are All Right,106,"Comedy,Drama,Romance",4000000,36275469,2010,807
12 Years a Slave,134,"Biography,Drama,History",20000000,181025343,2013,805
Bad Moms,100,Comedy,20000000,180998716,2016,805
The Second Best Exotic Marigold Hotel,122,"Comedy,Drama",10000000,90384306,2015,804
Bridesmaids,125,"Comedy,Romance",32500000,289632023,2011,791
The Karate Kid,140,"Action,Drama,Family",40000000,351774938,2010,779
The Descendants,115,"Comedy,Drama",20000000,175507800,2011,778
Baahubali 2: The Conclusion,167,"Action,Drama",30000000,263502914,2017,778
The Woman in Black,95,"Drama,Fantasy,Horror",15000000,128955898,2012,760
Project X,88,Comedy,12000000,103028188,2012,759
Jackass 3D,95,"Action,Comedy,Documentary",20000000,171685793,2010,758
Breaking In,88,"Action,Crime,Drama",6000000,51411620,2018,757
No Escape,103,"Action,Thriller",5000000,42844516,2015,757
Magic Mike XXL,115,"Comedy,Drama,Music",14500000,123660597,2015,753
The Help,146,Drama,25000000,213120004,2011,752
Frozen,102,"Adventure,Animation,Comedy",150000000,1272469910,2013,748
Tiny Furniture,98,"Comedy,Drama,Romance",50000,424149,2010,748
The Hunger Games,142,"Action,Adventure,Sci-Fi",80000000,677923379,2012,747
Sing,108,"Animation,Comedy,Family",75000000,634454789,2016,746
Taken 2,92,"Action,Thriller",45000000,377807404,2012,740
"As Above, So Below",93,"Adventure,Horror,Mystery",5000000,41824066,2014,736
Weekend,97,"Drama,Romance",190000,1577585,2011,730
Weekend,80,"Comedy,Drama",190000,1577585,2011,730
Weekend,121,"Action,Comedy,Crime",190000,1577585,2011,730
